,year,month,region,county,branch_name,established_on,operational_cost,staff_bonuses,misc_expenses,waste_cost,expense
0,2012.0,1.0,East of England,Bedfordshire,Bedfordshire store,2012.0,2785.0,232.0,7793.0,4729.0,15539.0
1,2012.0,2.0,East of England,Bedfordshire,Bedfordshire store,2012.0,2058.0,260.0,3559.0,3539.0,9416.0
2,2012.0,3.0,East of England,Bedfordshire,Bedfordshire store,2012.0,2222.0,319.0,7320.0,2809.0,12670.0
3,2012.0,4.0,East of England,Bedfordshire,Bedfordshire store,2012.0,2324.0,271.0,3352.0,3704.0,9651.0
4,2012.0,5.0,East of England,Bedfordshire,Bedfordshire store,2012.0,2489.0,263.0,5834.0,3872.0,12458.0
5,2012.0,6.0,East of England,Bedfordshire,Bedfordshire store,2012.0,3296.0,204.0,4604.0,3109.0,11213.0
6,2012.0,7.0,East of England,Bedfordshire,Bedfordshire store,2012.0,2663.0,367.0,9356.0,4370.0,16756.0
7,2012.0,8.0,East of England,Bedfordshire,Bedfordshire store,2012.0,2526.0,283.0,3033.0,5017.0,10859.0
8,2012.0,9.0,East of England,Bedfordshire,Bedfordshire store,2012.0,3337.0,299.0,8263.0,6195.0,18094.0
9,2012.0,10.0,East of England,Bedfordshire,Bedfordshire store,2012.0,3180.0,233.0,3092.0,5268.0,11773.0
10,2012.0,11.0,East of England,Bedfordshire,Bedfordshire store,2012.0,2576.0,377.0,6355.0,3913.0,13221.0
11,2012.0,12.0,East of England,Bedfordshire,Bedfordshire store,2012.0,2035.0,279.0,3724.0,2681.0,8719.0
12,2013.0,1.0,East of England,Bedfordshire,Bedfordshire store,2012.0,2198.0,348.0,8011.0,3871.0,14428.0
13,2013.0,2.0,East of England,Bedfordshire,Bedfordshire store,2012.0,2185.0,221.0,8759.0,4841.0,16006.0
14,2013.0,3.0,East of England,Bedfordshire,Bedfordshire store,2012.0,2829.0,283.0,5577.0,5943.0,14632.0
15,2013.0,4.0,East of England,Bedfordshire,Bedfordshire store,2012.0,2412.0,342.0,9464.0,2025.0,14243.0
16,2013.0,5.0,East of England,Bedfordshire,Bedfordshire store,2012.0,2879.0,204.0,4487.0,4505.0,12075.0
17,2013.0,6.0,East of England,Bedfordshire,Bedfordshire store,2012.0,2952.0,353.0,8642.0,4235.0,16182.0
18,2013.0,7.0,East of England,Bedfordshire,Bedfordshire store,2012.0,2930.0,290.0,3849.0,3667.0,10736.0
19,2013.0,8.0,East of England,Bedfordshire,Bedfordshire store,2012.0,2003.0,358.0,3033.0,5082.0,10476.0
20,2013.0,9.0,East of England,Bedfordshire,Bedfordshire store,2012.0,2268.0,309.0,3356.0,5605.0,11538.0
21,2013.0,10.0,East of England,Bedfordshire,Bedfordshire store,2012.0,3030.0,387.0,4358.0,2506.0,10281.0
22,2013.0,11.0,East of England,Bedfordshire,Bedfordshire store,2012.0,2521.0,360.0,6375.0,4026.0,13282.0
23,2013.0,12.0,East of England,Bedfordshire,Bedfordshire store,2012.0,3368.0,276.0,6068.0,4393.0,14105.0
24,2014.0,1.0,East of England,Bedfordshire,Bedfordshire store,2012.0,2447.0,375.0,3530.0,5756.0,12108.0
25,2014.0,2.0,East of England,Bedfordshire,Bedfordshire store,2012.0,3176.0,207.0,6402.0,5220.0,15005.0
26,2014.0,3.0,East of England,Bedfordshire,Bedfordshire store,2012.0,2167.0,379.0,7209.0,5045.0,14800.0
27,2014.0,4.0,East of England,Bedfordshire,Bedfordshire store,2012.0,3435.0,301.0,5322.0,5959.0,15017.0
28,2014.0,5.0,East of England,Bedfordshire,Bedfordshire store,2012.0,3482.0,386.0,8750.0,4570.0,17188.0
29,2014.0,6.0,East of England,Bedfordshire,Bedfordshire store,2012.0,3426.0,399.0,2870.0,5808.0,12503.0
30,2014.0,7.0,East of England,Bedfordshire,Bedfordshire store,2012.0,3448.0,360.0,8944.0,2672.0,15424.0
31,2014.0,8.0,East of England,Bedfordshire,Bedfordshire store,2012.0,3171.0,308.0,7344.0,3013.0,13836.0
32,2014.0,9.0,East of England,Bedfordshire,Bedfordshire store,2012.0,2858.0,339.0,3071.0,2970.0,9238.0
33,2014.0,10.0,East of England,Bedfordshire,Bedfordshire store,2012.0,3199.0,340.0,8397.0,5059.0,16995.0
34,2014.0,11.0,East of England,Bedfordshire,Bedfordshire store,2012.0,2287.0,244.0,2447.0,5272.0,10250.0
35,2014.0,12.0,East of England,Bedfordshire,Bedfordshire store,2012.0,3288.0,344.0,7441.0,2358.0,13431.0
36,2015.0,1.0,East of England,Bedfordshire,Bedfordshire store,2012.0,3251.0,398.0,2105.0,3870.0,9624.0
37,2015.0,2.0,East of England,Bedfordshire,Bedfordshire store,2012.0,2120.0,297.0,7147.0,5104.0,14668.0
38,2015.0,3.0,East of England,Bedfordshire,Bedfordshire store,2012.0,3209.0,273.0,2549.0,5370.0,11401.0
39,2015.0,4.0,East of England,Bedfordshire,Bedfordshire store,2012.0,2763.0,387.0,4661.0,3400.0,11211.0
40,2015.0,5.0,East of England,Bedfordshire,Bedfordshire store,2012.0,2240.0,237.0,4220.0,6492.0,13189.0
41,2015.0,6.0,East of England,Bedfordshire,Bedfordshire store,2012.0,2114.0,221.0,6629.0,3317.0,12281.0
42,2015.0,7.0,East of England,Bedfordshire,Bedfordshire store,2012.0,2526.0,231.0,3102.0,5969.0,11828.0
43,2015.0,8.0,East of England,Bedfordshire,Bedfordshire store,2012.0,2832.0,349.0,9462.0,5043.0,17686.0
44,2015.0,9.0,East of England,Bedfordshire,Bedfordshire store,2012.0,2821.0,232.0,7755.0,4019.0,14827.0
45,2015.0,10.0,East of England,Bedfordshire,Bedfordshire store,2012.0,3115.0,243.0,8056.0,5893.0,17307.0
46,2015.0,11.0,East of England,Bedfordshire,Bedfordshire store,2012.0,2200.0,329.0,3027.0,5044.0,10600.0
47,2015.0,12.0,East of England,Bedfordshire,Bedfordshire store,2012.0,2788.0,292.0,5146.0,2017.0,10243.0
